公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
2D,AD,6H,AC,7H,418,4C,JC,8S,KH,0
7H,QH,4C,KS,AD,289,9S,TS,9H,6H,1
TD,6S,KC,8C,2S,31,2D,7H,6C,JH,0
9D,AC,9H,KS,4D,264,AD,KH,KD,7S,1
5C,9H,JD,7H,2H,21,KC,3S,KD,5S,0
JD,QD,8S,7D,4D,378,AC,AD,KC,JC,1
QS,4H,5D,8D,9S,221,9C,4S,AD,6D,1
QC,5S,9C,AS,3H,136,JC,2D,7C,2H,1
AS,9S,8C,TH,2D,327,5S,7S,2H,5H,0
JD,2C,8H,AD,8S,259,6S,JH,7C,2D,1
2S,JC,JD,TD,6D,86,9C,3S,6H,7C,0
2D,2C,4C,6D,TD,176,8C,5H,4S,TS,0
8S,6S,7H,6H,TS,247,5C,4D,KH,4S,1
3C,4S,6H,9H,KS,237,5S,8D,KD,2S,0
9S,KD,AS,AC,QC,484,QS,AH,7D,TH,1
6D,9H,3D,JS,2H,305,KC,QC,6C,3H,0
5D,JC,3H,7C,AH,499,3D,JS,5C,7D,1
5D,5H,QD,QH,7D,461,TH,4S,4H,KD,0
AC,2H,5D,KH,TH,171,9D,6H,9H,QH,0
AD,2H,6S,6D,9S,489,7S,KS,TH,4C,1
7S,QH,AD,7D,2D,335,2S,5C,JC,6S,1
4C,9D,4S,2H,5C,23,8S,9H,4D,KD,0
AS,8S,3D,KD,JD,342,7C,QC,6S,6H,0
KC,KH,AH,7H,9H,376,5C,JC,7D,5D,0
JS,6S,JC,TC,2C,23,TH,2D,4H,5D,1
JC,6S,6D,3S,4C,309,KS,AD,QD,9D,1
JS,KC,TH,TC,2C,478,3C,3S,5C,QS,1
7D,8H,7H,2S,8S,286,AS,QD,3D,9S,1
TC,8D,6D,AH,3D,32,KS,6S,TS,2C,0
5C,JS,TS,KH,8H,320,TH,4C,8D,KS,0
KC,TH,TS,AC,TC,10,5S,QH,QD,7D,0
3C,AS,8S,2D,TH,18,KS,9D,5S,2H,0
TD,8C,JS,7S,3D,85,TC,QD,3H,2S,1
TC,JC,5S,3H,KD,167,KH,3C,9H,5D,1
2D,9H,JS,8H,3H,51,3D,JD,TC,JH,1
8H,KD,3C,5S,JS,396,TS,9C,TC,8S,0
4H,8D,TD,6D,QD,157,AH,4D,8C,TH,1
5S,5C,JS,TS,8S,454,3S,KH,5D,6H,1
QH,4S,8C,6D,KH,279,6H,2D,5D,QC,0
4D,6C,3C,6H,KH,110,6D,4S,JH,QC,1
7D,JC,QC,4C,2S,244,QH,AC,TH,JD,1
6C,9S,3S,AS,JC,440,4H,7H,2D,4S,1
QD,AS,3S,4S,AC,216,KC,9D,5C,JS,1
TC,AD,3S,2H,AH,390,4C,3C,5H,KH,1
KH,TH,3S,2D,4S,147,JH,6C,5H,9S,1
KS,6C,7S,3D,9S,339,AC,8S,3S,8D,0
JH,4D,3S,6S,JC,159,5H,7H,QS,TH,1
4S,JS,6S,4H,5H,383,9D,6D,TD,QD,1
8D,2H,5C,4H,5S,403,2C,4S,8H,TS,0
2H,4C,4H,KC,3S,375,2D,TC,3D,8S,0
2S,JH,8C,8S,AD,158,TS,JC,3D,7D,1
7H,6C,4S,5H,7D,385,AC,7C,6H,3H,0
2H,9D,TS,8D,5C,497,QS,5D,6D,9C,0
3S,AD,TH,2C,KS,213,4S,TS,QS,JH,0
4H,2S,QD,8H,3H,241,9D,9S,TH,7C,1
8S,8D,3S,9C,TD,123,4C,JD,4H,7D,1
8D,4S,QC,8S,7C,406,6H,TH,2C,5D,1
8S,QS,QC,3D,2C,260,4D,AD,9H,AH,0
4C,4H,9H,JS,3D,37,9D,7S,AH,AS,0
KD,2H,QC,5S,6H,354,TC,5H,9H,7C,1
2H,JD,7D,7H,AH,85,TH,2S,8H,JS,0
QS,TD,2H,9H,KC,403,9C,5S,8C,7S,1
QD,TC,5H,2D,8H,289,KD,6D,KC,JD,0
4H,7D,3S,2S,6D,355,9D,KC,8C,AC,0
8H,KH,2H,3D,KS,381,TH,7S,4H,5H,0
4D,3H,TS,4C,AD,470,8H,9C,JH,AC,0
3H,TS,4H,8C,TD,118,5D,KC,AS,8D,0
4D,4C,9D,8D,8H,373,QS,2C,JD,8S,0
KH,2C,5H,9C,JD,62,8S,TS,QH,4D,0
2H,AS,4H,KD,8S,429,6H,9D,JS,3D,0
3C,8D,JD,TD,9D,220,TH,JS,2S,6C,1
KH,5C,5D,8H,TS,365,9S,8C,7D,TD,0
JC,3S,JH,7D,4D,94,5C,QD,JS,QC,0
5S,8C,3D,9S,AC,229,8H,4H,9H,TC,0
AC,TS,9D,5C,QC,482,4D,7S,AH,3S,0
2H,5S,2D,TD,AH,146,JS,QH,4D,4S,0
9H,3S,6H,AC,TH,410,JC,KD,JH,JD,0
3S,5H,8S,8D,JH,210,KH,2D,6H,4S,1
AS,QH,QC,8S,KH,124,5H,9D,9H,QS,0
TH,2S,KH,3D,TS,450,3S,TC,7S,AH,1
3H,KS,JS,5H,4S,307,7S,2C,2S,4H,0
TS,6S,3S,QD,5D,460,6H,KS,QS,AD,0
2H,3S,KD,TS,QH,280,5H,2S,2D,9H,0
QC,7S,AC,3D,9D,315,AH,JH,8D,5D,1
AD,JH,QS,2D,5S,463,KD,JS,4D,9H,1
JD,KC,TH,AS,QH,463,3C,5D,QD,AD,0
4D,AC,3H,QC,6H,389,5D,9H,4C,JD,0
9H,2H,4D,KD,JC,122,3C,4H,2D,2S,0
QH,4H,8S,QD,TH,156,7S,KD,AD,JS,0
3D,4C,JS,KC,AS,462,QC,AC,TD,TC,1
4H,KS,4D,9C,AD,131,2C,JC,AH,6C,0
AC,7H,JS,2H,7C,219,QH,9C,8D,TD,1
JS,7C,6S,QS,AD,159,6H,9D,AS,3C,0
9C,KH,QS,8D,6S,80,3D,4S,KC,AH,0
7H,9D,JD,JC,TD,143,QD,6S,TS,5H,0
3S,8H,8D,KD,6S,396,TS,KC,JH,5D,1
KS,QS,3H,5S,3C,452,7H,TH,6S,8D,1
QS,9S,TH,2C,2H,434,9C,KH,TS,KC,0
JS,6C,7S,QD,5H,188,5C,2C,5S,4D,0
8C,QS,3D,4S,4D,491,QD,3S,6D,JD,1
AS,KS,6H,7C,2D,470,5S,6C,QS,9D,1
TS,6D,5H,KH,6S,219,QS,4S,KD,6H,0
9S,AC,AS,KS,AH,438,4D,3C,5C,TC,0
6S,3D,AS,7H,8C,94,2C,5D,9C,TH,0
7D,3C,2C,4S,AD,125,9H,8C,9S,2H,0
3D,KC,3S,7S,8C,217,9S,6D,KH,4C,0
QC,5D,KH,8D,9H,253,TC,KC,JC,KS,0
3D,QC,7H,4S,JD,366,AC,9S,KS,6S,1
KS,4S,AC,6D,2H,73,QC,4H,QS,3D,1
6D,QD,8D,6S,QH,49,5D,9H,KS,2C,0
JS,2C,TD,KD,6S,439,5H,5D,QD,7H,1
3S,AC,TH,8H,6D,259,KC,KD,JC,9D,1
AH,2D,TH,7D,KH,422,3S,8C,TC,2C,0
8H,5D,3C,4S,8D,82,3S,TD,JD,2H,1
JH,JD,5S,3S,QS,342,7D,KD,JC,TC,0
AD,JS,6H,6S,5C,220,9S,9C,5H,QS,1
QS,6H,TD,7S,3H,476,6C,4C,KH,8H,1
6H,KS,7D,9D,6D,161,7H,2H,6C,AD,0
JC,6S,KH,4D,AC,129,8H,5H,9C,3C,0
AC,2S,8D,KD,9S,234,KS,AH,JH,8C,1
8D,4S,QC,2S,9C,143,QH,2D,TC,2C,1
4D,3D,AC,9S,9H,455,KD,6H,JC,4C,0
KH,3D,4D,AD,5D,500,9S,KD,7C,KC,1
5C,KS,8D,7S,9H,47,QD,KH,2D,6C,0
7D,7H,3S,6D,AC,16,4S,4H,QH,5H,1
8C,9H,3D,TH,KS,124,6C,QD,8S,4D,0
TD,9S,8C,5D,AD,326,6D,TC,4C,AH,0
4S,QH,4H,9D,3H,148,TS,JS,TH,8D,1
7C,7D,KH,5D,QD,11,6D,4D,QS,9S,1
2S,TS,AC,KC,9D,471,KH,2C,JH,TC,1
KD,4S,4C,5C,6C,455,8S,7H,AS,5S,1
JS,AC,QH,TS,6C,100,TH,3D,5C,KS,0
4D,6D,6S,4S,KH,347,9S,7C,7D,QS,0
TH,6H,2S,JH,2C,361,6S,6D,AH,7C,1
2S,QH,QS,6D,3H,252,2H,7S,7D,AD,1
KS,6H,QH,TC,4D,419,9C,7D,AS,TH,0
9C,2C,AD,QS,JC,330,8H,7C,JS,2H,0
5S,2C,3C,JC,2D,272,6H,6S,9S,9H,0
JS,5C,4D,JH,TS,292,QH,7D,TD,2C,0
3D,KD,4S,2S,AC,497,5D,3C,KS,6S,1
3H,JC,6S,JD,2C,167,TD,9H,5H,5C,0
6D,5H,QS,JS,3C,374,AS,AH,5S,9D,1
4H,AH,KC,6C,TH,444,5D,4C,8D,KD,0
8H,QC,7H,3S,TD,385,JD,JS,AD,4C,1
2C,5C,AH,4C,TS,161,6C,3C,3D,JD,1
8D,AS,TC,8C,7S,315,QS,6C,9D,3S,1
7C,AS,6C,8H,2S,103,TH,QH,4S,3C,1
KD,3S,6H,9C,JH,59,5C,4S,8C,9D,0
4S,4D,9S,AH,AD,402,JH,5D,9H,KC,0
5S,9S,QS,TD,4D,299,8H,3H,KS,6C,0
QH,8S,6S,5S,8D,86,KC,3H,KH,KD,0
QH,2S,5C,3S,TH,311,KS,AH,KD,AC,0
7H,QH,JH,8H,9H,229,KH,7D,TS,AC,0
7S,AH,AC,4S,6D,133,AD,7D,QC,5C,1
3D,TH,AD,TD,6D,271,AC,4H,7C,9C,1
7H,2C,2S,JS,9H,387,9C,4S,KD,2H,0
TH,QC,KH,7D,AS,253,JH,3S,6H,8D,1
8H,TC,TH,AC,4D,207,7S,3C,TD,9H,0
8C,3H,6H,TD,3S,99,JS,QS,2C,AC,0
9D,QH,3S,7H,8H,108,AD,TH,KC,JH,1
6S,3S,5H,TH,4H,84,KC,2S,AS,2H,1
7S,9D,AH,JC,3H,406,5D,4H,8S,2S,0
3H,JD,4C,8S,KS,277,KH,8D,TS,6D,1
7D,QC,2D,6H,4D,384,KC,5D,6D,9D,0
6H,2C,8D,9H,JC,82,4S,2S,8C,7C,0
8S,KH,QS,JS,4H,393,TC,8D,7H,TS,1
8H,KS,6D,AS,2H,14,6C,7S,7D,9S,1
4D,KS,5S,8S,6C,60,9H,8D,2C,8H,1
KH,TS,3H,6D,9C,118,JD,8C,JS,6H,0
5S,3D,4C,AC,8D,405,JC,TC,4S,2H,0
2D,6D,KC,2S,TS,27,3H,6H,6C,JH,0
3H,QD,TH,2S,6H,59,AH,9C,AS,6C,0
2D,5H,3S,3D,3C,70,JH,5C,KC,AD,1
JC,QD,KD,5H,QH,414,KS,JS,9S,8C,1
KS,QH,JH,7C,5D,390,KD,8H,5C,6C,1
8S,6C,TH,6D,QH,397,QS,8D,4H,9D,1
5D,6S,3S,5C,KS,205,QS,8D,3H,QD,0
8S,7H,8D,TC,AC,350,6H,5H,3D,2S,0
JC,7H,QD,3H,KS,378,5C,TD,3S,9D,0
5H,JS,KC,8S,4C,203,KS,KH,KD,2C,1
2D,AC,7H,9D,9H,102,8H,QD,4D,5S,1
TD,3C,KD,9S,AS,141,KS,QS,8H,JD,1
8D,JS,3H,QH,2D,334,6D,JH,JD,5S,1
3H,KC,6D,TD,AD,234,QC,QS,5C,7H,1
7C,JS,4H,9D,3D,220,8H,9S,3H,TH,1
7H,4D,KC,8D,2D,500,7S,4S,9D,JH,1
9S,QH,JD,2C,AH,173,7D,9H,QD,3H,0
QD,2S,JD,8H,7D,325,9C,6D,JC,9H,0
5S,AH,8D,AD,6C,391,9D,2S,JH,QH,0
7C,5H,AD,9S,KD,66,QH,JD,7H,KC,0
KC,2C,3C,AD,6H,35,3S,JS,4D,QC,1
JD,JC,4H,3S,4S,500,TH,AH,AS,TS,0
5S,JD,QD,QS,AC,10,TC,KS,2C,TH,1
7S,6H,5D,4S,5S,52,3D,JH,3H,AS,0
7C,9H,4D,6S,7D,79,JH,6D,9C,2S,0
TD,8C,JH,5S,AD,457,JC,JD,4C,QD,1
JH,8S,AH,KS,TH,301,3C,QS,4S,6C,1
3D,4C,8H,TC,7S,433,9D,2H,QD,AD,0
4H,4D,8S,2S,4C,129,7S,7D,JD,2C,1
4D,7H,KC,KD,8H,93,3D,QC,5S,JD,1
5D,7S,9S,6D,9D,445,TC,KC,QH,7C,0
5H,6D,5D,QS,9D,380,4H,TD,2C,TH,0
9D,4S,TC,7H,8H,443,TD,5D,JD,9C,0
QC,3C,6D,TS,AS,453,6H,KS,JD,4C,1
AC,TD,KS,AD,2C,300,6C,9D,5H,JD,0
7D,6H,4D,8H,KH,277,TH,4H,9C,5C,1
3C,AH,JD,3S,2D,178,4H,3H,KD,5S,1
8S,4S,AS,9D,KS,103,9C,QD,8C,3H,1
4C,JD,6H,6C,TS,475,6D,AC,7S,AS,1
KH,KS,6D,8C,5H,84,3D,QC,AC,2C,0
KH,8C,QC,6S,QH,289,AH,AC,7C,7H,1
5C,7S,8H,3S,TD,276,3H,8C,JC,AC,1
KS,QH,3C,QD,6H,110,QC,AS,2C,TH,1
QC,8H,JD,JC,5S,275,7D,KD,8C,TD,0
KS,7H,AS,2H,9S,477,2D,AH,3S,7D,1
TH,6D,2C,7H,KH,26,QS,TS,KC,7C,0
QH,5S,QC,8D,AS,142,3C,AD,2D,KS,1
7C,KH,JC,9C,5C,479,8C,2H,TS,AS,1
QS,9D,5D,8S,TC,214,2C,5H,4C,KC,1
5S,2D,AD,9D,9H,45,KC,8H,7H,4D,1
TC,QC,9C,8C,AH,452,AS,3C,5H,4H,1
3C,AH,8D,2C,QS,439,4C,KH,7D,3H,0
3D,6H,AS,5D,3H,225,3C,TC,QS,AH,1
JC,3S,7D,KH,AC,192,TH,8D,QD,5H,0
7H,9C,6S,3S,TD,79,6C,AS,8C,5D,0
QD,6D,AH,KC,AC,155,JD,9S,AD,4S,0
QH,2C,9C,KD,9H,97,3H,QC,6H,9D,0
2H,8C,7D,4C,7S,379,4S,5D,7H,6H,0
4S,6S,2H,3S,9H,354,6D,TH,QH,4H,1
3H,2H,QS,9S,6D,448,3S,3C,TC,7D,1
7H,5H,7C,5S,TC,175,8H,8S,JD,3H,1
KD,7H,7S,3H,8H,266,9D,JC,3S,2D,0
8S,AH,JD,3H,6H,461,KH,4D,2D,2H,0
3C,7D,TS,7C,6H,108,9D,QH,TD,KD,0
2H,TD,AC,8S,JC,324,7S,JS,QS,KH,0
4D,6D,3H,AH,TS,392,3S,AS,TD,KC,1
5C,5S,9C,JH,QH,271,QD,AC,4H,2S,1
4C,6H,2D,7D,3H,346,7H,TD,3C,5S,0
2H,QC,QS,5D,JH,329,6H,5H,KC,8D,1
6S,8C,2S,5C,6D,461,KH,3H,6C,4S,0
4H,4S,AS,6S,KD,421,9H,7C,KH,5C,0
2S,4S,KD,TD,8D,336,3C,5C,7C,9D,0
8S,TC,8D,5H,4C,40,TS,2C,TD,AH,0
TH,7H,2H,4D,5H,102,JC,4S,9C,AD,1
9S,QD,QH,KD,9H,203,7H,JC,3S,TC,0
7D,KS,8C,8H,4D,400,JC,4S,5C,9H,1
5H,8C,4S,2H,KH,299,KS,QC,8D,8H,0
KD,9S,2C,4S,7D,299,5H,AH,TC,8C,1
7D,4S,8S,5H,2H,456,7S,8D,4C,6S,0
JD,AD,5C,KH,2D,120,5H,2S,QD,7C,1
QS,TS,7S,3H,3S,426,TC,KD,KH,9S,0
9S,3C,JC,JH,5H,467,QD,JD,9H,7H,1
8H,6D,JD,JC,5C,22,JH,2S,7C,7D,1
9D,7H,7C,2D,TC,434,QS,8C,AS,2S,0
9H,2S,AS,5S,7D,362,JS,TD,KC,QD,0
4C,JS,JD,7D,TS,307,2S,5C,QD,9C,0
AS,2S,2H,7D,7S,156,8S,TC,3D,4D,0
6S,KC,QS,AH,QC,497,TD,6C,7D,8C,1
AD,5C,JC,3C,9C,15,JD,KD,7H,8S,1
9S,4S,2H,QC,9H,424,4D,4H,3C,8C,1
9H,8D,2D,3D,3C,31,AS,AC,4C,6S,1
4D,3H,JD,4C,KS,252,KD,6H,9H,4H,0
TC,3D,AS,9D,KS,142,AH,9H,6S,8C,1
TH,2C,3H,2S,AS,299,QH,6H,TD,QS,0
3H,7S,JC,KH,QS,414,5C,6C,3D,JH,0
AS,AD,KS,QC,9H,427,QH,5S,3S,4D,1
JD,KS,JS,9C,TD,158,2C,4D,QS,6D,0
8C,3D,4H,9H,KD,132,6S,6C,QS,KH,0
2D,4C,5C,KH,QS,168,AD,TD,6H,TC,1
AS,3D,3S,6C,4S,186,AD,JH,3C,5H,0
6C,2C,KC,JS,JD,201,JH,3D,JC,KD,0
6H,4C,4D,AD,5S,451,2H,5D,8S,4H,0
4C,KD,TS,2D,2C,243,5D,3H,3C,8D,0
KH,2S,5C,JD,4C,493,QH,KD,8C,3S,1
4H,KS,4D,8H,AD,386,4C,5H,6S,JD,1
3H,8H,3S,4S,3D,104,2H,9S,2D,JS,0
6C,8H,2S,JS,5C,133,JD,AS,QC,8S,1
9S,3H,7D,3S,JH,366,JC,6S,7H,3C,0
9C,QD,9H,TS,JD,426,5H,AH,4H,3H,1
2S,5H,9D,QD,KC,199,4S,5D,5S,8H,0
3D,4C,QS,9H,7D,353,7C,TH,QD,KD,0
TC,KS,KH,TD,7S,380,JD,2H,JS,6H,0
KS,9S,6D,4H,JH,434,TC,QC,6S,8C,1
3H,7C,9C,3C,5H,228,4C,TH,2D,4S,1
AS,JS,8D,2S,JD,260,JC,9D,3S,5D,1
9C,7C,TD,6H,AD,57,6S,2H,AS,KD,0
5H,7C,QD,KC,8D,289,4S,TD,5C,9H,0
TD,4C,3H,9D,4D,351,KH,9S,JS,3C,1
4D,KC,7C,5H,TD,419,JS,7H,9H,5D,1
5D,6S,5S,4S,8H,129,KS,TC,2S,7H,0
TS,AH,AD,6C,JS,171,9C,3D,9H,TH,0
KS,4D,TH,KC,JH,135,6D,QD,3C,5D,1
8C,TC,6H,2S,TS,387,7H,AS,5D,3S,1
7S,TC,KD,8H,8D,113,7D,4S,AC,AS,0
8H,TH,4S,TD,8C,89,5C,9C,8S,AD,0
TS,5C,9C,9D,JC,385,4H,KH,TC,7D,0
2D,KH,4S,7D,KD,17,6D,QS,4C,2C,0
AD,3C,6C,JS,QC,368,5H,5D,3H,8H,1
TC,8H,3D,4S,2S,172,QH,AH,7D,3C,0
TS,QD,4C,AS,6H,484,4D,AC,TH,JC,1
KH,9C,QC,KS,4C,330,3S,JS,9S,6D,0
7S,5C,4H,KD,9S,318,8H,4D,JC,5S,0
2S,7D,7S,2H,5D,17,QC,3H,AC,4D,0
JH,AC,8C,6H,TD,389,2S,2C,4H,5H,1
AS,8S,9D,3C,5H,317,QC,3D,JD,TS,1
5S,JH,5C,2S,7D,160,TH,AC,TD,QD,1
KS,4C,8C,7D,2C,324,TC,7S,KD,QH,0
6S,JD,8S,TH,AS,152,3D,5C,KC,JC,0
9C,5H,QH,3S,2D,326,8H,6H,8S,5D,0
2H,KC,QS,JD,9C,58,3S,8C,2S,KS,0
8D,KS,TD,6C,5S,67,4H,AD,4S,9S,1
9H,TD,KS,QD,KD,335,5H,3S,7H,6S,0
4C,AC,9D,JC,2S,291,5S,4S,8D,8C,0
9H,JD,AH,5D,2S,252,KD,QH,AD,4H,0
7C,4H,3H,JD,9D,60,QC,2S,KS,7D,0
8D,TH,3D,TS,JC,351,KS,QC,JD,6H,0
AD,KC,QH,4S,JS,141,TC,TS,AS,3H,1
JD,5C,5S,2D,4H,428,2H,KD,6D,JH,0
QH,2H,QD,AH,5C,313,JD,AD,9C,6S,1
AC,5H,JH,9S,AS,488,6D,QH,9D,5D,0
7C,5D,2C,3D,7S,498,9S,KS,8C,TD,1
3S,5D,KH,5S,8S,495,AD,9S,KS,QS,0
5C,7S,6C,6D,8S,398,QC,4C,3C,5S,1
9H,TS,QC,QH,4H,476,5C,TD,9S,3H,1
7H,QC,AH,9C,JC,203,AC,QH,JS,5C,1
8H,JS,KC,TD,TS,427,5D,3C,AD,4S,0
JH,7H,9S,2S,KS,188,AD,6D,QD,KH,0
9C,JH,QS,8H,9H,260,5D,3C,QH,5H,0
9D,7D,AC,QS,7S,245,AH,QC,2C,9H,1
JC,AD,5S,AC,6C,67,6D,5C,7C,4S,1
JD,KD,KS,5S,7D,389,2C,JS,3C,2S,1
JS,AC,2D,QH,QS,434,KD,AD,8C,6C,1
9D,9S,TC,3S,QD,197,4D,3D,AD,8C,1
TH,5S,4H,QD,8D,261,AD,7D,3C,QH,0
6S,9C,8H,3S,QC,155,JS,KH,JC,8D,0
3H,KH,KC,2H,2C,138,4H,5S,8D,4D,0
QD,2H,9H,KD,7S,375,9C,AD,JC,3D,1
5D,KS,AS,AD,TH,392,7S,TD,6D,JD,1
3D,TH,AD,JC,6D,72,7H,JS,2C,3S,1
5C,8H,9H,6S,7H,90,3S,3C,9S,5H,0
7D,5D,3D,JD,3H,422,AS,TD,4C,6S,1
AH,KH,2C,6C,3S,209,6S,5S,5C,9D,1
QS,KC,3C,8H,2D,179,3D,TC,8D,7H,0
9C,JD,2D,JC,4H,363,6S,9H,5S,4S,1
3S,QD,JD,3C,TC,65,5C,TH,2H,KC,1
6C,JD,5C,KH,TD,436,8D,7H,TH,5S,0
4C,AD,AC,TH,9S,487,TS,KC,AH,8D,0
5C,6H,7H,3D,6D,32,4C,3H,KS,QH,1
3S,2C,4S,2S,TH,453,JH,JD,TD,6D,1
6C,TS,9C,2S,TH,339,6S,QH,JC,4S,1
5S,6S,6D,8C,JD,338,AD,TH,KC,AH,0
6D,8H,3D,TS,AD,396,7S,3C,9C,3H,0
6S,9H,TH,2H,5C,253,4S,QS,AH,JH,0
5S,TC,8S,AH,4C,12,6H,QD,TS,2H,0
AH,2D,JC,AC,KH,359,8H,QH,6C,5S,1
5S,2C,3D,TS,JD,43,TC,9D,AS,AD,0
9C,JD,4H,AC,2S,15,2D,KD,7H,6S,1
5C,TH,AD,9D,7D,36,8S,3C,9H,3H,0
8S,6H,AD,2S,TS,32,TD,6S,5D,QC,1
9H,7S,6D,5C,2H,437,TH,8S,AC,QS,1
8H,2D,7H,5S,JD,266,AD,AC,KC,4D,1
7H,8H,4C,QS,JC,494,7S,KS,4S,5H,1
JH,2H,QC,4H,QD,60,6H,6C,6D,7D,1
5D,8D,3D,QH,7H,304,6C,4H,6S,9H,0
AH,6C,2S,8C,TH,313,3C,4C,AD,9H,0
4S,5C,TC,3D,7C,67,7S,AC,AS,2D,0
4H,JD,6C,2C,8C,336,AC,3D,7S,9D,1
7D,4C,8C,6D,TD,472,QD,7S,QC,TH,0
4S,8C,8S,9D,QD,95,3C,5D,JH,3H,0
2H,5C,AH,TD,TH,421,4S,4H,JC,5D,0
2H,AS,5H,5S,4H,416,8S,TC,AC,8D,0
8D,JH,4S,5H,6C,486,AS,9C,7S,AD,0
4S,6C,JS,KS,3D,92,AC,QC,6D,3C,0
AC,QD,QC,3C,AH,278,4H,9D,3H,6S,1
7D,6H,2D,6S,4S,369,JD,KS,3S,4H,0
7S,TC,9D,KD,3D,304,QH,TH,JD,5C,1
5H,9C,AD,7H,7C,308,3D,5C,QS,3C,1
JH,9C,7D,9H,7H,184,KD,2C,AC,6C,0
2S,TH,3H,3C,3D,21,8D,6H,6S,KD,0
6H,4D,2C,5H,JS,157,3D,9C,5D,7C,1
4H,4C,5H,TD,QD,114,AH,6S,4D,3S,0
7D,JH,5S,QC,AH,267,9H,AD,6S,4C,1
TS,KS,AC,8H,6S,261,6C,7D,8C,AD,0
KH,4C,2H,8S,5D,183,6H,5H,QD,TS,1
7D,5S,AC,7H,5C,49,3S,QH,6D,4D,0
2H,TH,KS,TS,QS,454,3D,3S,JD,6H,1
3C,7C,8H,8C,JS,148,9H,7S,AD,9S,1
4S,AH,2C,AC,QD,385,8C,7S,5S,AD,0
JH,5H,6D,AS,AC,100,5C,QH,KC,8D,1
7H,QD,7S,9H,5C,436,AC,3D,TC,5S,0
KD,7H,2S,2D,4S,362,7S,6D,6C,AC,1
6H,JH,TC,3C,7S,197,8H,4D,8C,8D,0
KS,9C,6S,8D,KC,152,7S,4D,8H,JD,0
8S,6H,8H,6S,7C,396,3S,6D,7D,3H,1
7D,QS,2H,6C,QD,217,4C,7H,5S,AC,1
JS,AH,5H,JH,7C,377,KD,AD,6D,6C,1
AH,8D,9H,7D,QC,204,8S,4C,8C,AC,0
7C,4D,2D,QH,AH,311,2C,7S,2H,5S,1
TD,4D,JH,6S,AC,280,7C,3H,AD,QD,0
5H,5C,JS,AH,AC,332,3C,3D,KD,6C,0
6C,4H,TD,9C,9S,109,JD,KD,TS,6D,0
AC,3H,7S,6H,9C,430,AD,AS,2D,5D,1
8H,QH,JS,AD,4D,77,4H,7C,7H,KH,1
6C,9C,QC,4S,AC,278,JS,4C,2S,4H,1
3C,2S,8D,AH,QD,382,7H,TD,AC,JS,0
5S,8C,6S,KH,AH,362,9C,5C,QS,3D,1
QD,QS,2S,JS,AS,155,KC,7S,JC,2H,1
KC,9C,5C,TC,7H,227,KD,QC,3S,AC,0
AS,AD,7S,4C,KH,199,9H,TH,QD,6S,0
2C,TH,5D,QD,KC,357,AD,4C,5H,KS,0
QH,5H,JC,QS,8S,351,2D,QC,KS,7C,1
4S,KS,4H,2H,9D,184,TS,QC,QS,AS,0
TH,QD,5C,JD,8H,156,JC,4H,9H,TD,0
3S,QS,AS,7D,TC,57,8H,AC,KD,8S,1
5D,TH,KH,KC,5H,105,6D,4C,9S,TD,0
7C,4D,KS,5S,5D,66,8S,QH,2C,QS,1
5S,JC,8H,8C,QD,265,KH,4H,TC,5H,0
KD,7H,QS,4C,QD,362,2H,KH,JC,AH,1
JD,7H,TD,JH,8S,241,QS,9D,KD,TH,1
6S,4C,8H,4H,3D,21,6D,QH,3C,KC,1
QS,7D,KC,TS,3D,320,7C,TH,5H,AD,1
KC,9S,JC,2D,TS,68,5D,TH,QC,6S,0
TS,KS,7S,5S,AH,258,4D,AD,6C,KC,1
4S,7C,KD,6S,TD,113,JD,KC,TC,5C,1
QD,2D,KD,6S,7S,307,7C,8H,2H,9S,1
8D,9H,AC,TC,6D,414,5D,7D,2H,KH,1
9H,2D,2H,7C,QC,353,6H,KD,KS,5C,0
AC,QC,QD,QH,7C,327,5H,9H,AS,5C,0
8H,9D,TH,JH,7S,339,7H,JD,5D,TS,0
QD,TH,7D,2D,KS,317,JS,2H,AS,AD,0
5S,4H,9D,9H,5H,464,JC,TD,KC,9S,0
7S,8H,9H,KH,JC,141,QC,AH,9C,7D,0
AD,TS,2D,TD,6H,32,KS,7D,7C,2H,0
3C,6D,QD,8D,KH,13,3S,TC,KD,2H,0
6H,4H,9S,7C,4S,136,9D,AC,JC,JD,0
TC,5C,JH,3S,8D,180,QC,4S,TS,5H,0
TH,AH,5C,TS,AD,496,QD,5D,9H,4C,0
6H,KS,9D,3D,2D,357,KD,2C,4S,4C,1
8H,TS,8D,TD,AH,108,5C,2D,TC,JH,0
6H,2C,6D,AD,5C,403,6C,8D,4H,9H,1
KD,7H,JH,TH,5H,362,9C,QC,5S,4H,0
JS,5S,KS,KH,4S,244,JH,KC,9S,JC,1
JH,3S,KH,6S,TD,362,QC,8D,8H,2S,1
QC,3D,JC,3H,7S,282,KD,8H,6S,7D,0
TH,7H,7S,2C,AH,403,5D,KC,TS,8H,0
2H,JS,AH,9D,4H,220,4C,JD,TH,9S,1
7C,AC,QS,7H,8H,432,JC,5D,KH,JD,0
3C,TS,JC,8D,AS,120,4D,AD,7H,9C,0
2S,AH,8D,6C,JH,84,5H,QD,9D,KD,0
